time,type,x,y
2025-07-08 16:43:29, realtime,390.47,263.26
2025-07-08 16:43:29, realtime,390.47,263.26
2025-07-08 16:43:29, realtime,390.47,263.26
2025-07-08 16:43:29, realtime,390.47,263.26
2025-07-08 16:43:30, predict,390.47,263.26
2025-07-08 16:43:31, predict,370.15,263.64
2025-07-08 16:43:32, realtime,390.75,263.24
2025-07-08 16:43:32, realtime,390.75,263.24
2025-07-08 16:43:32, realtime,390.75,263.24
2025-07-08 16:43:32, realtime,390.75,263.24
2025-07-08 16:43:32, realtime,390.75,263.24
2025-07-08 16:43:33, predict,390.75,263.24
2025-07-08 16:43:34, predict,370.32,263.37
2025-07-08 16:43:35, realtime,390.91,263.55
2025-07-08 16:43:35, realtime,390.91,263.55
2025-07-08 16:43:35, realtime,390.91,263.55
2025-07-08 16:43:35, realtime,390.91,263.55
2025-07-08 16:43:35, realtime,390.91,263.55
2025-07-08 16:43:36, predict,390.91,263.55
2025-07-08 16:43:37, predict,370.54,263.47
2025-07-08 16:43:38, realtime,391.13,263.66
2025-07-08 16:43:38, realtime,391.13,263.66
2025-07-08 16:43:38, realtime,391.13,263.66
2025-07-08 16:43:38, realtime,391.13,263.66
2025-07-08 16:43:38, realtime,391.13,263.66
2025-07-08 16:43:39, predict,371.18,263.54
2025-07-08 16:43:40, predict,391.13,263.66
2025-07-08 16:43:41, realtime,391.32,263.69
2025-07-08 16:43:41, realtime,391.32,263.69
2025-07-08 16:43:41, realtime,391.32,263.69
2025-07-08 16:43:41, realtime,391.32,263.69
2025-07-08 16:43:41, realtime,391.32,263.69
2025-07-08 16:43:42, predict,371.34,263.75
2025-07-08 16:43:43, predict,391.32,263.69
2025-07-08 16:43:44, realtime,391.73,263.79
2025-07-08 16:43:44, realtime,391.73,263.79
2025-07-08 16:43:44, realtime,391.73,263.79
2025-07-08 16:43:44, realtime,391.73,263.79
2025-07-08 16:43:44, realtime,391.73,263.79
2025-07-08 16:43:45, predict,371.43,263.23
2025-07-08 16:43:46, predict,391.73,263.79
2025-07-08 16:43:47, realtime,390.31,263.58
2025-07-08 16:43:47, realtime,390.31,263.58
2025-07-08 16:43:47, realtime,390.31,263.58
2025-07-08 16:43:47, realtime,390.31,263.58
2025-07-08 16:43:50, realtime,391.90,263.36
2025-07-08 16:43:50, realtime,391.90,263.36
